degree,jp,text
147,獅子座27-28,Many Little Birds On A Limb Of A Big Tree
148,獅子座28-29,A Mermaid Emerges From The Ocean Waves Ready For Rebirth In Human Form
149,獅子座29-30,An Unsealed Letter
150,乙女座0-1,"In A Portrait, The Significant Features Of A Man’s Head Are Artistically Emphasized"
151,乙女座1-2,A Large White Cross Dominates The Landscape
152,乙女座2-3,Two Guardian Angels
153,乙女座3-4,Black And White Children Play Together Happily
154,乙女座4-5,A Man Becoming Aware Of Nature Spirits And Normally Unseen Spiritual Agencies
155,乙女座5-6,A Merry-Go-Round
156,乙女座6-7,A Harem
157,乙女座7-8,A Five-Year-Old Child Takes A First Dancing Lesson
158,乙女座8-9,An Expressionist Painter At Work
159,乙女座9-10,Two Heads Looking Out And Beyond The Shadows
160,乙女座10-11,In Her Baby A Mother Sees Her Deep Longing For A Son Answered
161,乙女座11-12,"After The Wedding, The Groom Snatches The Veil Away From His Bride"
162,乙女座12-13,A Powerful Statesman Overcomes A State Of Political Hysteria
163,乙女座13-14,An Aristocratic Family Tree
164,乙女座14-15,"A Fine Lace Handkerchief, Heirloom From Valorous Ancestors"
165,乙女座15-16,"In The Zoo, Children Are Brought Face To Face With An Orangutan"
166,乙女座16-17,A Volcanic Eruption
167,乙女座17-18,An Ouija Board
168,乙女座18-19,A Swimming Race
169,乙女座19-20,A Caravan Of Cars Headed To The West Coast
170,乙女座20-21,A Girls’ Basketball Team
171,乙女座21-22,A Royal Coat Of Arms Enriched With Precious Stones
172,乙女座22-23,A Lion Tamer Displays His Skill And Character
173,乙女座23-24,Mary And Her Little Lamb
174,乙女座24-25,A Flag At Half-Mast In Front Of A Public Building
175,乙女座25-26,A Boy With A Censer Serves The Priest Near The Altar
176,乙女座26-27,A Group Of Aristocratic Ladies Meet Ceremonially At A Court’s Function
177,乙女座27-28,A Baldheaded Man Who Has Seized Power
178,乙女座28-29,A Seeker After Occult Knowledge Is Reading An Ancient Scroll Which Illumines His Mind
179,乙女座29-30,"Totally Intent Upon Completing An Immediate Task, A Man Is Deaf To Any Allurement"
180,天秤座0-1,"In A Collection Of Perfect Specimens Of Many Biological Forms, A Butterfly Displays The Beauty Of Its Wings, Its Body Impaled By A Fine Dart"
181,天秤座1-2,The Transmutation Of The Fruits Of Past Experiences Into The Seed-Realizations Of The Forever Creative Spirit
182,天秤座2-3,The Dawn Of A New Day Reveals Everything Changed
183,天秤座3-4,Around A Campfire A Group Of Young People Sit In Spiritual Communion
184,天秤座4-5,A Man Revealing To His Students The Foundation Of An Inner Knowledge Upon Which A “New World” Could Be Built
185,天秤座5-6,A Man Watches His Ideals Taking A Concrete Form Before His Inner Vision
186,天秤座6-7,A Woman Feeding Chickens And Protecting Them From The Hawks
187,天秤座7-8,A Blazing Fireplace In A Deserted Home
188,天秤座8-9,Three “Old Masters” Hanging On The Wall Of A Special Room In An Art Gallery
189,天秤座9-10,"Having Passed Through Narrow Rapids, A Canoe Reaches Calm Waters"
190,天秤座10-11,A Professor Peering Over His Glasses At His Students
191,天秤座11-12,Miners Are Surfacing From A Deep Coal Mine
192,天秤座12-13,Children Blowing Soap Bubbles
193,天秤座13-14,In The Heat Of The Noon Hour A Man Takes A Siesta
194,天秤座14-15,Circular Paths
195,天秤座15-16,After A Storm A Boat Landing Stands In Need Of Reconstruction
196,天秤座16-17,A Retired Sea Captain Watches Ships Entering And Leaving The Harbor
197,天秤座17-18,Two Men Placed Under Arrest
198,天秤座18-19,A Gang Of Robbers In Hiding
199,天秤座19-20,A Rabbi Performing His Duties
200,天秤座20-21,A Sunday Crowd Enjoying The Beach
201,天秤座21-22,A Child Giving Birds A Drink At A Fountain
202,天秤座22-23,Chanticleer’s Voice Heralds Sunrise
203,天秤座23-24,A Butterfly With A Third Wing On Its Left Side
204,天秤座24-25,The Sight Of An Autumn Leaf Brings To A Pilgrim The Sudden Revelation Of The Mystery Of Life And Death
205,天秤座25-26,An Eagle And A Large White Dove Change Into Each Other
206,天秤座26-27,"An Airplane Sails, High In The Clear Sky"
207,天秤座27-28,A Man Becoming Aware Of Spiritual Forces Surrounding And Assisting Him
208,天秤座28-29,Mankind’s Vast And Enduring Effort To Reach For Knowledge Transferable From Generation To Generation
209,天秤座29-30,Three Mounds Of Knowledge On A Philosopher’s Head
210,蠍座0-1,A Crowded Sightseeing Bus On A City Street
211,蠍座1-2,"A Delicate Bottle Of Perfume Lies Broken, Releasing Its Fragrance"
212,蠍座2-3,A House-Raising Party In A Small Village Enlists The Neighbors’ Cooperation
213,蠍座3-4,A Youth Carries A Lighted Candle In A Devotional Ritual
214,蠍座4-5,A Massive Rocky Shore Resist The Pounding Of The Sea
215,蠍座5-6,The Gold Rush Tears Men Away From Their Native Soil
216,蠍座6-7,Deep-Sea Divers
217,蠍座7-8,A Calm Lake Bathed In Moonlight
218,蠍座8-9,A Dentist At Work
219,蠍座9-10,A Fellowship Supper Reunites Old Comrades
220,蠍座10-11,A Drowning Man is Being Rescued
221,蠍座11-12,An Official Embassy Ball
222,蠍座12-13,An Inventor Performs A Laboratory Experiment
223,蠍座13-14,Telephone Lineman At Work Installling New Connections
224,蠍座14-15,Children Playing Around Five Mounds Of Sand
225,蠍座15-16,A Girl’s Face Breaking Into A Smile
226,蠍座16-17,"A Woman, Fecundated By Her Own Spirit, Is 'Great With Child'"
227,蠍座17-18,A Path Through Woods Brilliant With Multicolored Splendor
228,蠍座18-19,A Parrot Repeats The Conversation He Has Overheard
229,蠍座19-20,A Woman Draws Away Two Dark Curtains Closing The Entrance To A Sacred Pathway
230,蠍座20-21,"Obeying His Conscience, A Soldier Resists Orders"
231,蠍座21-22,Hunters Shooting Wild Ducks
232,蠍座22-23,A Rabbit Metamorphoses Into A Nature Sprit
233,蠍座23-24,"After Having Heard An Inspired Individual Deliver His 'Sermon On The Mount,' Crowds Are Returning Home"
234,蠍座24-25,An X-Ray Photograph
235,蠍座25-26,American Indians Making Camp After Moving Into A New Territory
236,蠍座26-27,A Military Band Marches Noisily On Through The City Streets
237,蠍座27-28,The King Of The Fairies Approaching His Domain
238,蠍座28-29,An Indian Squaw Pleading To The Chief For The Lives Of Her Children
239,蠍座29-30,Children In Halloween Costumes Indulge In Various Pranks
240,射手座0-1,Retired Army Veterans Gather To Reawaken Old Memories
241,射手座1-2,White-capped Waves Display The Power Of Wind Over Sea
242,射手座2-3,Two Men Playing Chess
243,射手座3-4,A Little Child Learning To Walk With The Encouragement Of His Parents
244,射手座4-5,An Old Owl Sits Alone On The Branch Of A Large Tree
245,射手座5-6,A Game Of Cricket
246,射手座6-7,Cupid Knocks At The Door Of A Human Heart
247,射手座7-8,Within The Depths Of The Earth New Elements Are Being Formed
248,射手座8-9,A Mother Leads Her Small Child Step By Step Up A Steep Stairway
249,射手座9-10,A Theatrical Representation Of A Golden-Haired Goddess Of Opportuinity
250,射手座10-11,"In The Left Section Of An Archaic Temple, A Lamp Burns In A Container Shaped Like A Human Body"
251,射手座11-12,A Flag Turns Into An Eagle; The Eagle Into A Chanticleer Saluting The Dawn
252,射手座12-13,A Widow’s Past Is Brought To Light
253,射手座13-14,The Great Pyramid And The Sphinx
254,射手座14-15,The Ground Hog Looking For Its Shadow On Ground Hog Day
255,射手座15-16,Sea Gulls Fly Around A Ship In Expectation Of Food
256,射手座16-17,An Easter Sunrise Service Draws A Large Crowd
257,射手座17-18,"Children Playing On The Beach, Their Heads Protected By Sunbonnets"
258,射手座18-19,Pelicans Menaced By The Behavior And Refuse Of Men Seek Safer Areas For Bringing Up Their Young
259,射手座19-20,In An Old-Fashioned Northern Village Men Cut The Ice Of A Frozen Pond For Use During The Summer
260,射手座20-21,A Child And A Dog Wearing Borrowed Eyeglasses
261,射手座21-22,A Chinese Laundry
262,射手座22-23,A Group Of Immigrants As They Fulfill The Requirements Of Entrance Into The New Country
263,射手座23-24,A Bluebird Perched On The Gate Of A Cottage
264,射手座24-25,A Chubby Boy On A Hobby-Horse
265,射手座25-26,A Flag Bearer In A Battle
266,射手座26-27,A Sculptor At His Work
267,射手座27-28,An Old Bridge Over A Beautiful Stream Is Still In Constant Use
268,射手座28-29,A Fat Boy Mowing The Lawn Of His House On An Elegant Suburban Street
269,射手座29-30,The Pope Blessing The Faithful
270,山羊座0-1,An Indian Chief Claims Power From The Assembled Tribe
271,山羊座1-2,"Three Rose Windows In A Gothic Church, One Damaged By War"
272,山羊座2-3,"A Human Soul, In Its Eagerness For New Experiences, Seeks Embodiment"
273,山羊座3-4,A Group Of People Outfitting A Large Canoe At The Start Of A Journey By Water
274,山羊座4-5,"Indians On The Warpath. While Some Men Row A Well-Filled Canoe, Others In It Perform A War Dance"
275,山羊座5-6,Ten Logs Lie Under An Archway Leading To Darker Woods
276,山羊座6-7,"A Veiled Prophet Speaks, Seized By The Power Of A God"
277,山羊座7-8,In A Sunlit Home Domesticated Birds Sing Joyously
278,山羊座8-9,An Angel Carrying A Harp
279,山羊座9-10,An Albatross Feeding From The Hand Of A Sailor
280,山羊座10-11,A Large Group Of Pheasant On A Private Estate
281,山羊座11-12,An Illustrated Lecture On Natural Science Reveals Little-Known Aspects Of Life
282,山羊座12-13,A Fire Worshipper Meditates On The Ultimate Realities Of Existence
283,山羊座13-14,An Ancient Bas-Relief Carved In Granite Remains A Witness To A Long-Forgotten Culture
284,山羊座14-15,"In A Hospital, The Children’s Ward Is Filled With Toys"
285,山羊座15-16,School Grounds Filled With Boys And Girls In Gymnasium Suits
286,山羊座16-17,A Repressed Woman Finds A Psychological Release In Nudism
287,山羊座17-18,The Union Jack Flag Files From A British Warship
288,山羊座18-19,A Five-Year-Old Child Carrying A Bag Filled With Groceries
289,山羊座19-20,A Hidden Choir Is Singing During A Religious Service
290,山羊座20-21,A Relay Race
291,山羊座21-22,"By Accepting Defeat Gracefully, A General Reveals Nobility Of Character"
292,山羊座22-23,A Soldier Receiving Two Awards For Bravery In Combat
293,山羊座23-24,A Woman Entering A Convent
294,山羊座24-25,A Store Filled With Precious Oriental Rugs
295,山羊座25-26,A Nature Sprit Dancing In The Iridescent Mist Of A Waterfall
296,山羊座26-27,Pilgrims Climbing The Steep Steps Leading To A Mountain Shrine
297,山羊座27-28,A Large Aviary
298,山羊座28-29,A Woman Reading Tea Leaves
299,山羊座29-30,A Secret Meeting Of Men Responsible For Executive Decisions In World Affairs
300,水瓶座0-1,An Old Adobe Mission In California
301,水瓶座1-2,An Unexpected Thunderstorm
302,水瓶座2-3,A Deserter From The Navy
303,水瓶座3-4,A Hindu Yogi Demonstrates His Healing Powers
304,水瓶座4-5,A Council Of Ancestors Is Seen Implementing Thee Efforts Of A Young Leader
305,水瓶座5-6,A Masked Figure Performs Ritualistic Acts In A Mystery Play
306,水瓶座6-7,A Child Is Seen Being Born Out Of An Egg
307,水瓶座7-8,Beautifully Gowned Wax Figures On Display
308,水瓶座8-9,A Flag Is Seen Turning Into An Eagle
309,水瓶座9-10,A Man Who Had For A Time Become The Embodiment Of A Popular Ideal Is Made To Realize That As A Person He Is Not This Ideal
310,水瓶座10-11,"During A Silent Hour, A Man Receives A New Inspiration Which May Change His Life"
311,水瓶座11-12,"On A Vast Staircase Stand People Of Different Types, Graduated Upward"
312,水瓶座12-13,A Barometer
313,水瓶座13-14,A Train Entering A Tunnel
314,水瓶座14-15,Two Lovebirds Sitting On A Fence And Singing Happily
315,水瓶座15-16,A Big Businessman At His Desk
316,水瓶座16-17,"A Watchdog Stands Guard, Protecting His Master And His Possessions"
317,水瓶座17-18,A Man’s Secret Motives Are Being Publicly Unmasked
318,水瓶座18-19,"A Forest Fire Is Being Subdued By The Use Of Water, Chemicals And Sheer Muscular Energy"
319,水瓶座19-20,A Large White Dove Bearing A Message
320,水瓶座20-21,A Disappointed And Disillusioned Woman Courageously Faces A Seemingly Empty Life
321,水瓶座21-22,A Rug Is Placed On The Floor Of A Nursery To Allow Children To Play In Comfort And Warmth
322,水瓶座22-23,A Big Bear Sitting Down And Waving All Its Paws
323,水瓶座23-24,"A Man, Having Overcome His Passions, Teaches Deep Wisdom In Terms Of His Experience"
324,水瓶座24-25,A Butterfly With The Right Wing More Perfectly Formed
325,水瓶座25-26,A Garage Man Testing A Car’s Battery With A Hydrometer
326,水瓶座26-27,An Ancient Pottery Bowl Filled With Fresh Violets
327,水瓶座27-28,A Tree Felled And Sawed To Ensure A Supply Of Wood For The Winter
328,水瓶座28-29,A Butterfly Emerging From A Chrysalis
329,水瓶座29-30,"Deeply Rooted In The Past Of A Very Ancient Culture, A Spiritual Brotherhood In Which Many Individual Minds Are Merged Into The Glowing Light Of A Unanimous Consciousness Is Revealed To One Who Has Emerged Successfully From His Metamorphosis"
330,魚座0-1,In A Crowded Marketplace Farmers And Middlemen Display A Great Variety Of Products
331,魚座1-2,A Squirrel Hiding From Hunters
332,魚座2-3,Petrified Tree Trunks Lie Broken On Desert Sand
333,魚座3-4,Heavy Car Traffic On A Narrow Isthmus Linking Two Seashore Resorts
334,魚座4-5,A Church Bazaar
335,魚座5-6,A Parade Of Army Officers In Full Dress
336,魚座6-7,"Illumined By A Shaft Of Light, A Large Cross Lies On Rocks Surrounded By Sea"
337,魚座7-8,A Girl Blowing A Bugle
338,魚座8-9,"A Jockey Spurs His Horse, Intent On Outdistancing His Rivals"
339,魚座9-10,"An Aviator Pursues His Journey, Flying Through Ground-Obscuring Clouds"
340,魚座10-11,"Men Traveling A Narrow Path, Seeking Illumination"
341,魚座11-12,"In The Sanctuary Of An Occult Brotherhood, Newly Initiated Members Are Being Examined And Their Character Tested"
342,魚座12-13,"An Ancient Sword, Used In Many Battles, Is Displayed In A Museum"
343,魚座13-14,A Lady Wrapped In A Large Stole Of Fox Fur
344,魚座14-15,An Officer Instructing His Men Before A Simulated Assault Under A Barrage Of Live Shells
345,魚座15-16,In The Quiet Of His Study A Creative Individual Experiences A Flow Of Inspiration
346,魚座16-17,An Easter Parade
347,魚座17-18,"In A Gigantic Tent, Villagers Witness A Spectacular Performance"
348,魚座18-19,A Master Instructing His Disciple
349,魚座19-20,A Table Set For An Evening Meal
350,魚座20-21,"Under The Watchful And Kind Eye Of A Chinese Servant, A Girl Fondles A Little White Lamb"
351,魚座21-22,A Prophet Carrying Tablets Of The New Law Is Walking Down The Slopes Of Mount Sinai
352,魚座22-23,A “Materializing” Medium Giving A Seance
353,魚座23-24,"On A Small Island Surrounded By The Vast Expanse Of The Sea, People Are Seen Living In Close Interaction"
354,魚座24-25,A Religious Organization Succeeds In Overcoming The Corrupting Influence Of Perverted Practices and Materialized Ideals
355,魚座25-26,"Watching The Very Thin Moon Crescent Appearing At Sunset, Different People Realize That The Time Has Come To Go Ahead With Their Different Projects"
356,魚座26-27,The Harvest Moon Illumines A Clear Autumnal Sky
357,魚座27-28,A Fertile Garden Under The Full Moon Reveals A Variety Of Full-Grown Vegetables
358,魚座28-29,Light Breaking Into Many Colors As It Passes Through A Prism
359,魚座29-30,"A Majestic Rock Formation Resembling A Face Is Idealized By A Boy Who Takes It As His Ideal Of Greatness, And As He Grows Up, Begins To Look Like It."
